,neighbors
179,"['13257000004' '13119000003' '13119000004' '13119000005' '13119000002'
 '13119000007' '13119000006' '13257000007' '13257000006']"
180,['13119000003' '13119000001' '13119000005' '13147000007' '13147000006']
181,['13119000001' '13119000004' '13119000006' '13147000003' '13147000006']
182,['1312500GIBS' '13163000082' '13303001350' '13163001593' '1312500MITC']
183,['13023000001' '13175000014' '1328900JV/W' '1328900SG/T' '13319000011']
184,"['13177000004' '13261000015' '13177000002' '130810JAMES' '13321000008'
 '13321000009' '13177000010' '130810CONEY']"
185,['13273000003' '13177000004' '13177000005' '13273000002' '13177000002']
186,"['13161000202' '13001000002' '13279000043' '1300100001C' '130010003A1'
 '13279000039']"
187,"['130050DOUGL' '1300100003C' '1300100004D' '1330500002A' '1330500002C'
 '1322900004A' '1322900004B']"
188,['1315300NSES' '132250000B2' '13079000005' '132250000P1']
189,"['13303001488' '13303000097' '1300900MONT' '13303000091' '13319000007'
 '13319000002' '13303000099' '13167001301']"
190,"['13273000001' '13273000003' '13177000005' '13177000003' '13095000025'
 '13273000006' '13037000001' '13177000006']"
191,"['13071000023' '13071000015' '13071000017' '13321000011' '13321000010'
 '13071000009']"
192,"['13269000005' '13193000002' '13193000001' '13197000808' '13261000029'
 '1326100W-27' '13197000539' '13197000034' '1326100N-26']"
193,"['13275000115' '132050000CT' '13071000012' '131310000WL' '13275000106'
 '132050000PE' '1313100000S']"
194,['13275000109' '13275000114' '13275000120' '13275000107']
195,"['13237000101' '13237000104' '13009000319' '13169000005' '1314100001A'
 '1300900MERI' '13009000318' '13237000106']"
196,"['1312500GIBS' '13163001460' '13301000004' '13301000006' '13163001593'
 '13301000005']"
197,"['1312500EDGH' '1312500MILL' '13301000004' '13163001593' '1312500MITC'
 '13301000005']"
198,"['13269000005' '13263000004' '13197000808' '13263000003' '13197000339'
 '13197000948']"
199,"['13257000004' '13119000001' '13119000007' '13011000004' '13011000005'
 '13011000012' '13257000005' '13011000013']"
200,"['13151000061' '13151000037' '13151000057' '13151000053' '13151000038'
 '13151000034']"
201,['13151000060' '13151000053' '13151000034' '13151000032' '13151000050']
202,"['13151000039' '13151000060' '13151000057' '13151000038' '13151000042'
 '13151000050']"
203,['13151000037' '13151000060' '13151000053' '13151000042']
204,"['13151000028' '13151000061' '13151000051' '13151000060' '13151000057'
 '13151000032']"
205,"['13275000110' '13275000108' '13275000109' '13275000114' '13275000105'
 '13275000102' '13275000113' '1313100000M' '1313100000D' '13275000119']"
206,"['13151000059' '1303500BCCC' '13151000048' '13151000029' '13255000021'
 '13255000009']"
