,neighbors
234,['32003002430' '32003002734' '32003002743' '32003002746' '32003005505']
235,"['32003002037' '32003002353' '32003002692' '32003002695' '32003002700'
 '32003002704' '32003002706' '32003002709' '32003002710' '32003002711'
 '32003002927']"
236,['32003002037' '32003002352' '32003002354' '32003002700' '32003002709']
237,"['32003002008' '32003002037' '32003002353' '32003002371' '32003002372'
 '32003002387' '32003002700']"
238,"['32003002600' '32003003552' '32003003700' '32003003875' '32003003881'
 '32003003906']"
239,['32003002044' '32003002606' '32003002607' '32003004508' '32003004581']
240,"['32003002008' '32003002037' '32003002044' '32003002606' '32003002607'
 '32003004501' '32003004502']"
241,"['32003002008' '32003002037' '32003002354' '32003002372' '32003002373'
 '32003002382' '32003002383' '32003004501']"
242,"['32003002354' '32003002371' '32003002373' '32003002384' '32003002387'
 '32003002700']"
243,"['32003002371' '32003002372' '32003002382' '32003002383' '32003002384'
 '32003002387']"
244,['32003002381' '32003002394' '32003004501' '32003004504']
245,['32003002380' '32003002382' '32003002383' '32003002394' '32003004501']
246,"['32003002008' '32003002371' '32003002373' '32003002381' '32003002383'
 '32003004501']"
247,"['32003002371' '32003002373' '32003002381' '32003002382' '32003002384'
 '32003002386' '32003002394' '32003002616' '32003002738']"
248,"['32003002372' '32003002373' '32003002383' '32003002385' '32003002387'
 '32003002480' '32003002738']"
249,['32003002384' '32003002386' '32003002449' '32003002480' '32003002738']
250,"['32003002383' '32003002385' '32003002390' '32003002394' '32003002449'
 '32003002480' '32003002484' '32003002616' '32003002738']"
251,"['32003002354' '32003002372' '32003002373' '32003002384' '32003002479'
 '32003002480' '32003002654' '32003002700' '32003002701' '32003002702']"
252,"['32003002386' '32003002391' '32003002392' '32003002393' '32003002449'
 '32003002484' '32003002616' '32003002617']"
253,['32003002390' '32003002399' '32003002446' '32003002484' '32003002617']
254,"['32003002390' '32003002393' '32003002394' '32003002616' '32003002617'
 '32003004506']"
255,"['32003002390' '32003002392' '32003002394' '32003002446' '32003002483'
 '32003002617' '32003004505' '32003004506']"
256,"['32003002380' '32003002381' '32003002383' '32003002386' '32003002392'
 '32003002393' '32003002616' '32003004504' '32003004506']"
257,"['32003002391' '32003002446' '32003002449' '32003002456' '32003002484'
 '32003002500' '32003002617']"
258,"['32003002401' '32003002408' '32003002409' '32003002463' '32003002481'
 '32003002483' '32003002713' '32003002715' '32003002716' '32003002736'
 '32003004505' '32003004512']"
259,['32003002400' '32003002483' '32003004505']
260,['32003002716']
261,['32003002716']
262,['32003002716']
263,['32003002400' '32003002716']
264,"['32003002400' '32003002463' '32003002464' '32003002715' '32003002716'
 '32003002717' '32003002730']"
265,"['32003002430' '32003002436' '32003002445' '32003002489' '32003002724'
 '32003002740' '32003002742' '32003002745' '32003002746' '32003002751'
 '32003002752']"
266,"['32003002126' '32003002417' '32003002745' '32003002746' '32003002751'
 '32003004513' '32003004514' '32003005505' '32003005511']"
267,"['32003002417' '32003002447' '32003002489' '32003002724' '32003002904'
 '32003002916' '32003002917' '32003002919' '32003002931' '32003002971'
 '32003002972' '32003002973']"
268,['32003002457' '32003002500' '32003002666']
269,"['32003002445' '32003002489' '32003002733' '32003002735' '32003005500'
 '32003005501']"
270,"['32003002417' '32003002444' '32003002489' '32003002734' '32003002735'
 '32003002742' '32003002743']"
271,"['32003002391' '32003002393' '32003002399' '32003002456' '32003002481'
 '32003002483' '32003002617']"
272,"['32003002436' '32003002715' '32003002720' '32003002721' '32003002724'
 '32003002729' '32003002914' '32003002917' '32003002919' '32003002931']"
273,"['32003002385' '32003002386' '32003002390' '32003002399' '32003002456'
 '32003002480' '32003002484' '32003002500' '32003002666']"
274,"['32003002399' '32003002446' '32003002449' '32003002457' '32003002463'
 '32003002481' '32003002500' '32003002730' '32003002736' '32003002737'
 '32003002916']"
275,"['32003002440' '32003002456' '32003002500' '32003002501' '32003002633'
 '32003002660' '32003002662' '32003002666' '32003002672' '32003002916']"
276,['32003002714' '32003002716']
277,"['32003002400' '32003002409' '32003002456' '32003002464' '32003002730'
 '32003002736' '32003002737']"
278,"['32003002409' '32003002463' '32003002715' '32003002717' '32003002729'
 '32003002730']"
279,['32003002466' '32003002477' '32003002731' '32003002732' '32003002776']
280,['32003002465' '32003002776' '32017000236']
281,['32003002478' '32003002775' '32003002930' '32003002970']
282,"['32003002078' '32003002473' '32003002486' '32003002488' '32003002727'
 '32003002770' '32003002978' '32017000001' '32017000236']"
283,['32003002469' '32003002476' '32003002487' '32003002488' '32003002727']
284,['32003002473' '32003002487' '32003002726' '32003002727']
285,['32003002465' '32003002731' '32003002775' '32003002776']
286,"['32003002468' '32003002486' '32003002487' '32003002723' '32003002725'
 '32003002726' '32003002775' '32003002930' '32003002970' '32017000236']"
287,"['32003002387' '32003002480' '32003002650' '32003002654' '32003002661'
 '32003002666' '32003002701']"
288,"['32003002384' '32003002385' '32003002386' '32003002387' '32003002449'
 '32003002479' '32003002500' '32003002666']"
289,['32003002400' '32003002446' '32003002456' '32003002483' '32003002736']
290,"['32003002393' '32003002400' '32003002401' '32003002446' '32003002481'
 '32003004505' '32003004506']"
291,['32003002386' '32003002390' '32003002391' '32003002399' '32003002449']
292,['32003002469' '32003002478' '32003002487' '32003002488' '32017000236']
293,"['32003002473' '32003002476' '32003002478' '32003002486' '32003002488'
 '32003002723' '32003002726']"
294,['32003002469' '32003002473' '32003002486' '32003002487']
295,"['32003002417' '32003002436' '32003002444' '32003002445' '32003002904'
 '32003002907' '32003005500' '32003005501']"
296,"['32003002399' '32003002440' '32003002449' '32003002456' '32003002457'
 '32003002480' '32003002666']"
297,"['32003002457' '32003002633' '32003002916' '32003002938' '32003002948'
 '32003002975' '32003002977' '32003003540' '32003003605' '32003003964'
 '32003003990' '32003003991']"
298,"['32003002078' '32003002904' '32003002906' '32003002911' '32003002916'
 '32003007541' '32003007543']"
299,"['32003002356' '32003002601' '32003002602' '32003002603' '32003002604'
 '32003002633' '32003002948' '32003002949' '32003003540' '32003003546'
 '32003003700' '32003003881' '32003003906']"
300,['32003002600' '32003002948']
301,"['32003002600' '32003002603' '32003002605' '32003002608' '32003002624'
 '32003002633']"
302,['32003002600' '32003002602' '32003002604' '32003002605']
303,['32003002600' '32003002603' '32003002605' '32003002611' '32003003546']
304,"['32003002602' '32003002603' '32003002604' '32003002611' '32003002622'
 '32003002624' '32003002633']"
305,['32003002044' '32003002360' '32003002366' '32003002607']
306,['32003002360' '32003002366' '32003002606' '32003004502' '32003004581']
307,['32003002602' '32003002633']
308,['32003002716']
309,"['32003002604' '32003002605' '32003002612' '32003002613' '32003002615'
 '32003002622' '32003003546' '32003003607' '32003003613' '32003003938']"
310,['32003002611' '32003002613' '32003002652' '32003003607' '32003003938']
311,"['32003002611' '32003002612' '32003002614' '32003002615' '32003002621'
 '32003002652']"
312,"['32003002613' '32003002615' '32003002621' '32003002643' '32003002651'
 '32003002652']"
313,['32003002611' '32003002613' '32003002614' '32003002621' '32003002622']
314,['32003002383' '32003002386' '32003002390' '32003002392' '32003002394']
315,"['32003002390' '32003002391' '32003002392' '32003002393' '32003002399'
 '32003002446']"
316,"['32003002613' '32003002614' '32003002615' '32003002622' '32003002642'
 '32003002643']"
317,"['32003002605' '32003002611' '32003002615' '32003002621' '32003002623'
 '32003002624' '32003002625' '32003002631' '32003002634' '32003002642'
 '32003002643' '32003002946']"
318,['32003002622' '32003002624']
319,"['32003002602' '32003002605' '32003002622' '32003002623' '32003002625'
 '32003002631' '32003002632' '32003002633' '32003002635' '32003002946']"
320,['32003002622' '32003002624']
321,['32003002622' '32003002624' '32003002634' '32003002635' '32003002642']
322,['32003002624' '32003002633' '32003002635']
323,"['32003002457' '32003002501' '32003002600' '32003002602' '32003002605'
 '32003002608' '32003002624' '32003002632' '32003002635' '32003002665'
 '32003002671' '32003002672' '32003002673' '32003002916' '32003002948']"
324,"['32003002622' '32003002631' '32003002635' '32003002640' '32003002641'
 '32003002642' '32003002643' '32003002644' '32003002646' '32003002665']"
325,"['32003002624' '32003002631' '32003002632' '32003002633' '32003002634'
 '32003002665']"
326,['32003002634' '32003002642']
327,['32003002634' '32003002644']
328,"['32003002621' '32003002622' '32003002631' '32003002634' '32003002640'
 '32003002643' '32003002644' '32003002646']"
329,"['32003002614' '32003002621' '32003002622' '32003002634' '32003002642'
 '32003002644' '32003002645' '32003002651' '32003002652' '32003002653']"
330,"['32003002634' '32003002641' '32003002642' '32003002643' '32003002653'
 '32003002655' '32003002663' '32003002664' '32003002665' '32003002671']"
331,['32003002643' '32003002651']
332,['32003002634' '32003002642']
333,"['32003002479' '32003002653' '32003002654' '32003002655' '32003002661'
 '32003002666']"
