,neighbors
302,"['48013000002' '48013000005' '48013000023' '48029001062' '48029001064'
 '48029001065' '48029001105' '48029001114' '48029001123' '48029001146']"
303,['48029001063' '48029001065' '48029001066' '48029001067' '48029001146']
304,"['48013000002' '48013000023' '48013000024' '48029001063' '48029001064'
 '48029001066']"
305,"['48013000002' '48013000012' '48013000024' '48029001064' '48029001065'
 '48029001067']"
306,"['48013000012' '48029001064' '48029001066' '48029001068' '48029001128'
 '48029001133' '48029001146' '4832500002C']"
307,['48029001067' '48029001081' '48029001128' '4832500002B' '4832500002C']
308,"['48029001083' '48029001093' '48029001108' '48029001109' '48029001122'
 '48029001129' '48029001130' '48029001143' '48029002093' '48029002098']"
309,"['48029001012' '48029001043' '48029001071' '48029001080' '48029001085'
 '48029001086']"
310,"['48029001012' '48029001070' '48029001076' '48029001080' '48029001112'
 '48029001136']"
311,['48029001104' '48029001138' '48029001149' '48029002069' '48029002140']
312,['48029001108' '48029001118' '48029001125' '48029001129' '48029001150']
313,"['48029001003' '48029001004' '48029001005' '48029001006' '48029001098'
 '48029001119' '48029001120' '48029002117']"
314,['48029001036' '48029001038' '48029001039' '48029001061' '48029001094']
315,"['48029001002' '48029001024' '48029001071' '48029001080' '48029001100'
 '48029001112']"
316,['48029001006' '48029001007' '48029001013' '48029001078' '48029002118']
317,"['48029001013' '48029001029' '48029001077' '48029002018' '48029002031'
 '48029002032' '48029002118']"
318,"['48029001002' '48029001024' '48029001093' '48029001099' '48029001113'
 '48029001139' '48029001147']"
319,"['48029001024' '48029001043' '48029001070' '48029001071' '48029001076'
 '48029001086' '48029001087' '48029001138' '48029001139']"
320,"['48029001068' '48029001118' '48029001128' '48029001141' '4832500002A'
 '4832500002B']"
321,"['48029001027' '48029001100' '48029001106' '48029001112' '48029001136'
 '48029001140' '48029001142' '48029001148']"
322,['48029001069' '48029001093' '48029001100' '48029001130' '48029001147']
