,neighbors
269,['17019CC0400' '17019CC0800' '17019CN0400' '17019CN0500' '17019UR1000']
270,"['17019CC0100' '17019CC0900' '17019CC1000' '17019CC1100' '17019CC1200'
 '17019CC1700' '17019HEN000' '17019SOM000' '17019UR3000']"
271,"['17019CC0100' '17019CC0200' '17019CC0300' '17019CC0400' '17019CC0800'
 '17019CC1200']"
272,"['17019CC0300' '17019CC0400' '17019CC0500' '17019CC0700' '17019CC1200'
 '17019CC1400' '17019CC1500' '17019CC1600' '17019CH6000' '17019UR1000']"
273,"['17019CC0600' '17019CC1000' '17019CC1700' '17019CC1800' '17019CC3000'
 '17019CH3000']"
274,"['17019CC0600' '17019CC0900' '17019CC1100' '17019CC1900' '17019CC2500'
 '17019CH3000']"
275,['17019CC0600' '17019CC1000' '17019CC1200' '17019CC1900' '17019CC2000']
276,"['17019CC0100' '17019CC0600' '17019CC0700' '17019CC0800' '17019CC1100'
 '17019CC1300' '17019CC1400' '17019CC1900' '17019CC2000']"
277,['17019CC1200' '17019CC1400' '17019CC2000' '17019CC2100']
278,"['17019CC0800' '17019CC1200' '17019CC1300' '17019CC1500' '17019CC2100'
 '17019CC2200']"
279,['17019CC0800' '17019CC1400' '17019CC1600' '17019CC2200' '17019CC2300']
280,['17019CC0800' '17019CC1500' '17019CC2300' '17019CC2400' '17019CH6000']
281,"['17019CC0600' '17019CC0900' '17019CC1800' '17019CH1000' '17019CH3000'
 '17019HEN000']"
282,"['17019CC0900' '17019CC1700' '17019CC3000' '17019CC3400' '17019CH2000'
 '17019CH3000']"
283,"['17019CC1000' '17019CC1100' '17019CC1200' '17019CC2000' '17019CC2500'
 '17019CC2600']"
284,"['17019CC1100' '17019CC1200' '17019CC1300' '17019CC1900' '17019CC2100'
 '17019CC2600' '17019CC2700']"
285,['17019CC1300' '17019CC1400' '17019CC2000' '17019CC2200' '17019CC2700']
286,"['17019CC1400' '17019CC1500' '17019CC2100' '17019CC2300' '17019CC2700'
 '17019CC2900']"
287,"['17019CC1500' '17019CC1600' '17019CC2200' '17019CC2400' '17019CC2900'
 '17019CC3200']"
288,"['17019CC1600' '17019CC2300' '17019CC3200' '17019CC3300' '17019CH5000'
 '17019CH6000']"
289,['17019CC1000' '17019CC1900' '17019CC2600' '17019CC3000' '17019CH3000']
290,"['17019CC1900' '17019CC2000' '17019CC2500' '17019CC2700' '17019CC3000'
 '17019CC3100']"
291,"['17019CC2000' '17019CC2100' '17019CC2200' '17019CC2600' '17019CC2800'
 '17019CC2900' '17019CC3000' '17019CC3100']"
292,['17019CC2700' '17019CC2900' '17019CC3100']
293,"['17019CC2200' '17019CC2300' '17019CC2700' '17019CC2800' '17019CC3100'
 '17019CC3200' '17019CC3600']"
294,"['17019CC0900' '17019CC1800' '17019CC2500' '17019CC2600' '17019CC2700'
 '17019CC3100' '17019CC3400' '17019CC3500' '17019CC3700' '17019CH3000']"
295,"['17019CC2600' '17019CC2700' '17019CC2800' '17019CC2900' '17019CC3000'
 '17019CC3500' '17019CC3600']"
